unit,display_name,faction,cost,group,thresholds_xp,thresholds_in_own_cost,bonuses,earns_xp_how,inert_bonuses,buildable,prerequisites_disabled,kills_for_rank1_vs_50cr_target,accrual_rank1_min,accrual_rank2_min,accrual_rank3_min,concealment_base,concealment_rank_steps_under_cap
A10,Attack Aircraft,both/neutral,6000,Group E,600000 1200000 2400000 4800000,1x 2x 4x 8x,"FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:EjectOnDeath,WithDecoration","kills (30mm.A10, Hellfire); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,120.0,9.0,27.0,80.9,2,4
C6,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C7,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Pistol); not buildable: no accrual; evacuation credits rank back,,no,no,0.5,,,,3,4
C8,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
C9,Civilian,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
CHAN,Scientist,not buildable,500,Group C,50000 100000 200000 400000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,10.0,,,,3,4
DELPHI,Agent Delphi,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
DR,Drone operator,both/neutral,150,Group A,15000 30000 60000 120000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (DroneJammer); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,3.0,3.4,10.3,30.8,3,4
DR.america,Drone operator,America,150,Group A,15000 30000 60000 120000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (DroneJammer); purchase stock (accrual); evacuation credits rank back,,yes,no,3.0,3.4,10.3,30.8,3,4
DR.russia,Drone operator,Russia,150,Group A,15000 30000 60000 120000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (DroneJammer); purchase stock (accrual); evacuation credits rank back,,yes,no,3.0,3.4,10.3,30.8,3,4
E1,Conscript,both/neutral,50,Group A,5000 10000 20000 40000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.E3); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,1.0,3.0,9.0,26.9,3,4
E1.america,Conscript,both/neutral,50,Group A,5000 10000 20000 40000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.E3); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,1.0,3.0,9.0,26.9,3,4
E1.russia,Conscript,both/neutral,50,Group A,5000 10000 20000 40000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.E3); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,1.0,3.0,9.0,26.9,3,4
E1R1,Conscript,not buildable,50,Group A,5000 10000 20000 40000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (5.56mm.E3); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,1.0,,,,3,4
E1R1.america,Veteran,not buildable,50,Group A,5000 10000 20000 40000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (5.56mm.E3); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,1.0,,,,3,4
E1R1.russia,Veteran,not buildable,50,Group A,5000 10000 20000 40000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (5.56mm.E3); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,1.0,,,,3,4
E2,Grenadier,both/neutral,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (GrenadeLauncher.5mag); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,2.0,3.2,9.7,29.1,3,4
E2.america,Grenadier,America,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (GrenadeLauncher.5mag); purchase stock (accrual); evacuation credits rank back,,yes,no,2.0,3.2,9.7,29.1,3,4
E2.russia,Grenadier,Russia,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (GrenadeLauncher.5mag); purchase stock (accrual); evacuation credits rank back,,yes,no,2.0,3.2,9.7,29.1,3,4
E2R1,Grenadier,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (GrenadeLauncher.5mag); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,2.0,,,,3,4
E2R1.america,Grenadier,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (GrenadeLauncher.5mag); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,2.0,,,,3,4
E2R1.russia,Grenadier,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (GrenadeLauncher.5mag); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back,,no,no,2.0,,,,3,4
E3,Rifleman,both/neutral,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,2.0,3.2,9.7,29.1,3,4
E3.america,Rifleman,America,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); purchase stock (accrual); evacuation credits rank back",,yes,no,2.0,3.2,9.7,29.1,3,4
E3.colorpicker,Rifleman,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); not buildable: no accrual; evacuation credits rank back",,no,no,2.0,,,,3,4
E3.russia,Rifleman,Russia,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); purchase stock (accrual); evacuation credits rank back",,yes,no,2.0,3.2,9.7,29.1,3,4
E3R1,Rifleman,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back",,no,no,2.0,,,,3,4
E3R1.america,Rifleman,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back",,no,no,2.0,,,,3,4
E3R1.russia,Rifleman,not buildable,100,Group A,10000 20000 40000 80000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (5.56mm.DMR, RPG); not buildable: no accrual; ships pre-ranked at level 2; evacuation credits rank back",,no,no,2.0,,,,3,4
E4,Flamethrower,both/neutral,150,Group A,15000 30000 60000 120000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (Flamespray); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,3.0,3.4,10.3,30.8,3,4
E4.america,Flamethrower,America,150,Group A,15000 30000 60000 120000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Flamespray); purchase stock (accrual); evacuation credits rank back,,yes,no,3.0,3.4,10.3,30.8,3,4
E4.russia,Flamethrower,Russia,150,Group A,15000 30000 60000 120000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (Flamespray); purchase stock (accrual); evacuation credits rank back,,yes,no,3.0,3.4,10.3,30.8,3,4
E6,Combat Engineer,both/neutral,250,Group A,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (MP5); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,5.0,3.8,11.2,33.8,3,4
E6.america,Combat Engineer,America,250,Group A,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); purchase stock (accrual); evacuation credits rank back,,yes,no,5.0,3.8,11.2,33.8,3,4
E6.russia,Combat Engineer,Russia,250,Group A,25000 50000 100000 200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (MP5); purchase stock (accrual); evacuation credits rank back,,yes,no,5.0,3.8,11.2,33.8,3,4
EINSTEIN,Prof. Einstein,not buildable,25,Group C,2500 5000 10000 20000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; not buildable: no accrual; evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),no,no,0.5,,,,3,4
F16,F-16,both/neutral,6000,Group E,600000 1200000 2400000 4800000,1x 2x 4x 8x,"FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:EjectOnDeath,WithDecoration","kills (AirToAirMissile, 20mm_CRAM); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,120.0,9.0,27.0,80.9,2,4
FROG,Su-25 Frogfoot,both/neutral,6000,Group E,600000 1200000 2400000 4800000,1x 2x 4x 8x,"FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:EjectOnDeath,WithDecoration","kills (RocketPods); accrues stock but ~disabled, unspendable; evacuation credits rank back",,yes,yes,120.0,9.0,27.0,80.9,2,4
FROG.Airstrike,Su-25 Frogfoot,not buildable,6000,Group B,600000 1200000 2400000 4800000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (RocketPods); not buildable: no accrual; evacuation credits rank back,,no,no,120.0,,,,2,4
HALO,Halo,Russia,2000,Group B,200000 400000 800000 1600000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,no kill path: no Armament; purchase stock (accrual); evacuation credits rank back,FirepowerMultiplier (no Armament on this actor); ReloadDelayMultiplier (no Armament on this actor),yes,no,40.0,6.2,18.6,55.9,2,4
HELI,Apache,America,6000,Group B,600000 1200000 2400000 4800000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (30mm.Heli, Hellfire); purchase stock (accrual); evacuation credits rank back",,yes,no,120.0,9.0,27.0,80.9,2,4
HIMARS,HIMARS,America,6000,Group B,600000 1200000 2400000 4800000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,kills (HIMARSTargeter); purchase stock (accrual); evacuation credits rank back,,yes,no,120.0,9.0,27.0,80.9,2,4
HIND,Mi-24 Hind,Russia,4000,Group B,400000 800000 1600000 3200000,1x 2x 4x 8x,FirepowerMultiplier:105/110/115/120 | ReloadDelayMultiplier:95/90/85/80 | SpeedMultiplier:105/110/115/120 | DamageMultiplier:95/90/85/80 | DetectableAddativeModifier:1/2/3/4 | extras:WithDecoration,"kills (12.7mm.Hind, 12.7mm.Hind.AA, RocketPods); purchase stock (accrual); evacuation credits rank back",,yes,no,80.0,7.8,23.4,70.2,2,4
